date,US 10yr bond,UK 10yr bond
2000-01-03,6.592,5.224
2000-01-04,6.497,5.662
2000-01-05,6.594,5.754
2000-01-06,6.524,5.763
2000-01-07,6.515,5.707
2000-01-10,6.552,5.63
2000-01-11,6.657,5.715
2000-01-12,6.703,5.757
2000-01-13,6.63,5.663
2000-01-14,6.679,5.71
2000-01-17,6.681,5.77
2000-01-18,6.748,5.867
2000-01-19,6.732,5.801
2000-01-20,6.788,5.844
2000-01-21,6.765,5.8
2000-01-24,6.685,5.774
2000-01-25,6.692,5.706
2000-01-26,6.664,5.705
2000-01-27,6.692,5.815
2000-01-28,6.658,5.84
2000-01-31,6.665,5.738
2000-02-01,6.619,5.591
2000-02-02,6.573,5.608
2000-02-03,6.489,5.552
2000-02-04,6.549,5.642
2000-02-07,6.639,5.658
2000-02-08,6.613,5.616
2000-02-09,6.66,5.653
2000-02-10,6.671,5.692
2000-02-11,6.604,5.648
2000-02-14,6.554,5.578
2000-02-15,6.552,5.592
2000-02-16,6.545,5.696
2000-02-17,6.567,5.654
2000-02-18,6.489,5.607
2000-02-21,6.493,5.526
2000-02-22,6.361,5.431
2000-02-23,6.423,5.451
2000-02-24,6.365,5.351
2000-02-25,6.327,5.343
2000-02-28,6.422,5.363
2000-02-29,6.409,5.45
2000-03-01,6.386,5.422
2000-03-02,6.384,5.446
2000-03-03,6.388,5.369
2000-03-06,6.411,5.312
2000-03-07,6.373,5.284
2000-03-08,6.379,5.294
2000-03-09,6.343,5.249
2000-03-10,6.383,5.292
2000-03-13,6.37,5.281
2000-03-14,6.292,5.309
2000-03-15,6.291,5.289
2000-03-16,6.245,5.171
2000-03-17,6.194,5.122
2000-03-20,6.183,5.161
2000-03-21,6.135,5.182
2000-03-22,6.112,5.268
2000-03-23,6.078,5.212
2000-03-24,6.191,5.237
2000-03-27,6.185,5.369
2000-03-28,6.151,5.329
2000-03-29,6.147,5.328
2000-03-30,6.055,5.256
2000-03-31,6.004,5.239
2000-04-03,5.965,5.199
2000-04-04,5.895,5.233
2000-04-05,5.872,5.151
2000-04-06,5.934,5.23
2000-04-07,5.853,5.169
2000-04-10,5.771,5.204
2000-04-11,5.882,5.175
2000-04-12,5.935,5.198
2000-04-13,5.906,5.24
2000-04-14,5.85,5.259
2000-04-17,6.038,5.284
2000-04-18,6.059,5.272
2000-04-19,5.992,5.285
2000-04-20,5.994,5.293
2000-04-21,5.988,5.294
2000-04-24,6.017,5.294
2000-04-25,6.128,5.341
2000-04-26,6.13,5.299
2000-04-27,6.223,5.266
2000-04-28,6.212,5.21
2000-05-01,6.278,5.21
2000-05-02,6.299,5.238
2000-05-03,6.401,5.245
2000-05-04,6.427,5.354
2000-05-05,6.505,5.396
2000-05-08,6.56,5.35
2000-05-09,6.529,5.303
2000-05-10,6.42,5.299
2000-05-11,6.409,5.41
2000-05-12,6.512,5.407
2000-05-15,6.446,5.348
2000-05-16,6.424,5.312
2000-05-17,6.496,5.423
2000-05-18,6.54,5.477
2000-05-19,6.494,5.496
2000-05-22,6.439,5.414
2000-05-23,6.435,5.442
2000-05-24,6.47,5.396
2000-05-25,6.394,5.312
2000-05-26,6.331,5.226
2000-05-29,6.331,5.225
2000-05-30,6.376,5.247
2000-05-31,6.272,5.175
2000-06-01,6.191,5.129
2000-06-02,6.152,5.039
2000-06-05,6.122,5.07
2000-06-06,6.122,5.111
2000-06-07,6.141,5.113
2000-06-08,6.124,5.162
2000-06-09,6.126,5.118
2000-06-12,6.071,5.108
2000-06-13,6.116,5.098
2000-06-14,6.041,5.128
2000-06-15,6.05,5.164
2000-06-16,5.971,5.056
2000-06-19,5.999,5.078
2000-06-20,6.02,5.127
2000-06-21,6.113,5.233
2000-06-22,6.104,5.22
2000-06-23,6.185,5.266
2000-06-26,6.102,5.234
2000-06-27,6.085,5.238
2000-06-28,6.1,5.223
2000-06-29,6.027,5.167
2000-06-30,6.031,5.171
2000-07-03,5.989,5.205
2000-07-05,5.985,5.127
2000-07-06,6.048,5.191
2000-07-07,6.001,5.117
2000-07-10,6.035,5.177
2000-07-11,6.048,5.152
2000-07-12,6.08,5.146
2000-07-13,6.005,5.159
2000-07-14,6.096,5.247
2000-07-17,6.148,5.261
2000-07-18,6.141,5.243
2000-07-19,6.154,5.209
2000-07-20,6.002,5.194
2000-07-21,5.998,5.146
2000-07-24,6.034,5.155
2000-07-25,6.028,5.143
2000-07-26,6.027,5.126
2000-07-27,6,5.135
2000-07-28,6.034,5.223
2000-07-31,6.031,5.222
2000-08-01,5.984,5.194
2000-08-02,5.976,5.218
2000-08-03,5.952,5.211
2000-08-04,5.901,5.244
2000-08-07,5.956,5.22
2000-08-08,5.918,5.213
2000-08-09,5.916,5.217
2000-08-10,5.763,5.229
2000-08-11,5.79,5.181
2000-08-14,5.771,5.239
2000-08-15,5.802,5.282
2000-08-16,5.838,5.283
2000-08-17,5.81,5.297
2000-08-18,5.773,5.277
2000-08-21,5.781,5.323
2000-08-22,5.775,5.322
2000-08-23,5.727,5.292
2000-08-24,5.719,5.252
2000-08-25,5.729,5.266
2000-08-28,5.777,5.265
2000-08-29,5.808,5.322
2000-08-30,5.8,5.331
2000-08-31,5.725,5.337
2000-09-01,5.679,5.24
2000-09-04,5.683,5.244
2000-09-05,5.689,5.275
2000-09-06,5.724,5.284
2000-09-07,5.752,5.263
2000-09-08,5.739,5.325
2000-09-11,5.766,5.331
2000-09-12,5.772,5.399
2000-09-13,5.724,5.4
2000-09-14,5.785,5.338
2000-09-15,5.84,5.376
2000-09-18,5.871,5.385
2000-09-19,5.852,5.357
2000-09-20,5.897,5.358
2000-09-21,5.823,5.327
2000-09-22,5.848,5.281
2000-09-25,5.837,5.339
2000-09-26,5.802,5.33
2000-09-27,5.821,5.317
2000-09-28,5.812,5.301
2000-09-29,5.802,5.195
2000-10-02,5.823,5.197
2000-10-03,5.867,5.203
2000-10-04,5.886,5.213
2000-10-05,5.852,5.218
2000-10-06,5.812,5.201
2000-10-09,5.823,5.118
2000-10-10,5.772,5.125
2000-10-11,5.774,5.097
2000-10-12,5.709,5.075
2000-10-13,5.724,5.091
2000-10-16,5.732,5.095
2000-10-17,5.673,5.113
2000-10-18,5.667,5.095
2000-10-19,5.655,5.118
2000-10-20,5.632,5.121
2000-10-23,5.584,5.134
2000-10-24,5.615,5.139
2000-10-25,5.684,5.147
2000-10-26,5.69,5.152
2000-10-27,5.713,5.193
2000-10-30,5.732,5.177
2000-10-31,5.751,5.161
2000-11-01,5.742,5.163
2000-11-02,5.738,5.149
2000-11-03,5.827,5.14
2000-11-06,5.855,5.145
2000-11-07,5.866,5.168
2000-11-08,5.855,5.171
2000-11-09,5.825,5.155
2000-11-10,5.783,5.132
2000-11-13,5.766,5.096
2000-11-14,5.753,5.114
2000-11-15,5.731,5.101
2000-11-16,5.669,5.07
2000-11-17,5.704,5.084
2000-11-20,5.677,5.089
2000-11-21,5.652,5.067
2000-11-22,5.624,4.972
2000-11-23,5.612,4.93
2000-11-24,5.624,4.939
2000-11-27,5.624,4.898
2000-11-28,5.582,4.889
2000-11-29,5.524,4.913
2000-11-30,5.468,4.881
2000-12-01,5.503,4.87
2000-12-04,5.551,4.85
2000-12-05,5.416,4.859
2000-12-06,5.326,4.849
2000-12-07,5.309,4.863
2000-12-08,5.299,4.913
2000-12-11,5.362,4.912
2000-12-12,5.346,4.941
2000-12-13,5.258,4.896
2000-12-14,5.213,4.928
2000-12-15,5.18,4.894
2000-12-18,5.17,4.894
2000-12-19,5.188,4.932
2000-12-20,5.037,4.918
2000-12-21,5.025,4.945
2000-12-22,5.006,4.931
2000-12-25,5.008,4.931
